Name,Downloads
obsidian-excalidraw-plugin,1411920
dataview,1288387
table-editor-obsidian,1152399
obsidian-kanban,906174
calendar,890707
obsidian-tasks-plugin,856342
templater-obsidian,811501
obsidian-git,684924
obsidian-advanced-slides,654459
obsidian-style-settings,641472
obsidian-outliner,609890
obsidian-minimal-settings,581795
obsidian-admonition,542756
quickadd,489729
obsidian-icon-folder,425113
tag-wrangler,419891
sliding-panes-obsidian,412638
obsidian-mind-map,378844
remotely-save,321676
obsidian-day-planner,299996
cm-editor-syntax-highlight-obsidian,288372
recent-files-obsidian,286891
obsidian-annotator,282527
obsidian-linter,271924
obsidian-checklist-plugin,266174
homepage,262258
omnisearch,259469
better-word-count,255480
nldates-obsidian,249167
obsidian-emoji-toolbar,242794
oz-image-plugin,232751
periodic-notes,229436
obsidian-advanced-uri,214189
highlightr-plugin,201555
dbfolder,199384
obsidian-pandoc,197599
note-refactor-obsidian,187826
make-md,186546
obsidian-markmind,183249
obsidian-projects,179453
notion-like-tables,177568
url-into-selection,176298
obsidian-zotero-desktop-connector,169251
obsidian-textgenerator-plugin,165880
obsidian-hover-editor,162559
file-tree-alternative,162062
editing-toolbar,154656
obsidian-hider,149741
obsidian-spaced-repetition,149486
various-complements,148840
darlal-switcher-plus,146952
obsidian-full-calendar,145475
obsidian-citation-plugin,141270
obsidian-dictionary-plugin,135924
cmdr,135199
obsidian-languagetool-plugin,135068
obsidian-charts,133223
buttons,131564
obsidian-enhancing-mindmap,128111
obsidian-banners,128069
cmenu-plugin,126523
find-unlinked-files,121863
excalibrain,118233
obsidian-image-toolkit,114633
obsidian-enhancing-export,107444
obsidian42-brat,106151
quick-latex,104366
obsidian-leaflet-plugin,103982
obsidian-reminder-plugin,102135
obsidian-auto-link-title,101222
obsidian-livesync,100410
obsidian-dice-roller,97720
obsidian-tracker,97652
obsidian-plugin-toc,88623
readwise-official,87475
obsidian-latex-suite,87369
breadcrumbs,87038
supercharged-links-obsidian,86656
obsidian-5e-statblocks,86183
media-extended,84295
fantasy-calendar,84287
pane-relief,83399
obsidian-tagfolder,82316
metadata-menu,81861
multi-column-markdown,80899
obsidian-excel-to-markdown-table,79743
obsidian-zoom,76836
easy-typing-obsidian,76170
obsidian-footnotes,75399
folder-note-plugin,74771
obsidian-memos,73469
settings-search,71565
obsidian-importer,71525
quick-explorer,71487
obsidian-contextual-typography,71375
hotkeysplus-obsidian,71331
obsidian-extract-pdf-highlights,71289
obsidian-rollover-daily-todos,70976
metaedit,70657
smart-connections,69015
obsidian-kindle-plugin,68990
obsidian-text-format,64892
obsidian-image-auto-upload-plugin,64530
obsidian-custom-frames,64220
todoist-sync-plugin,64178
obsidian-icons-plugin,63863
emoji-shortcodes,62941
markdown-prettifier,62830
obsidian-markdown-formatting-assistant-plugin,60651
drawio-obsidian,60291
cycle-through-panes,60104
obsidian-vimrc-support,59479
obsidian-to-anki-plugin,59216
google-calendar,58039
obsidian-timelines,57865
file-explorer-note-count,57678
juggl,57522
text-extractor,57472
obsidian-sortable,57093
obsidian-tabs,55899
obsidian-book-search-plugin,55169
convert-url-to-iframe,54380
obsidian-plantuml,53912
meld-encrypt,53698
cm-typewriter-scroll-obsidian,52704
remember-cursor-position,52277
markdown-table-editor,51943
obsidian-collapse-all-plugin,51559
copilot,51497
obsidian-quiet-outline,49734
oz-clear-unused-images,49689
obsidian-plugin-todo,49141
obsidian-smart-typography,48866
obsidian-plugin-update-tracker,48086
card-board,47235
obsidian-read-it-later,46763
obsidian-another-quick-switcher,46128
heatmap-calendar,45969
initiative-tracker,45589
workspaces-plus,45062
mousewheel-image-zoom,44987
mermaid-tools,44401
review-obsidian,44086
obsidian-map-view,43759
obsidian-reading-time,43756
execute-code,43078
better-pdf-plugin,42309
longform,41888
obsidian-local-rest-api,41735
hotkey-helper,41193
obsidian-omnivore,40568
obsidian-weread-plugin,40541
novel-word-count,40218
privacy-glasses,39606
flashcards-obsidian,38249
zoottelkeeper-obsidian-plugin,37757
alx-folder-note,36652
obsidian-relative-line-numbers,36375
obsidian-completr,36251
obsidian-chartsview-plugin,35724
table-extended,35077
obsidian42-strange-new-worlds,34987
obsidian-filename-heading-sync,34485
obsidian-copy-block-link,34092
obsidian-focus-mode,33711
obsidian-columns,33352
ava,31933
graph-analysis,31798
mx-bili-plugin,31548
number-headings-obsidian,31395
obsidian-icon-shortcodes,30924
obsidian-code-block-enhancer,30906
obsidian-list-callouts,30455
obsidian-shellcommands,29762
obsidian-paste-image-rename,29623
obsidian-statusbar-pomo,29415
custom-sort,29369
obsidian-file-color,29354
cm-chs-patch,28959
floating-toc,28896
folder-note-core,28492
map-of-content,28389
obsidian-table-generator,27963
obsidian-fullscreen-plugin,27722
obsidian-sort-and-permute-lines,27504
chatgpt-md,26816
link-favicon,26800
obsidian-local-images,26592
auto-note-mover,26099
waypoint,26033
obsidian-vault-statistics-plugin,25722
surfing,25263
obsidian-editor-shortcuts,25234
obsidian-local-images-plus,24764
obsidian-timeline,24662
big-calendar,24577
digitalgarden,24539
obsidian-imgur-plugin,24468
obsidian-mindmap-nextgen,24445
webpage-html-export,24346
mrj-text-expand,24178
obsidian-autocomplete-plugin,24075
obsidian-view-mode-by-frontmatter,24064
update-time-on-edit,24045
text-snippets-obsidian,23663
smart-random-note,23609
obsidian-show-file-path,23516
canvas-mindmap,23312
chronology,23140
gpt3-notes,23068
vantage-obsidian,22880
obsidian-gallery,22832
podnotes,22766
colored-text,22621
obsidian-latex,22349
fleeting-notes-obsidian,22303
obsidian-underline,21929
folder-notes,21231
rss-reader,21201
search-on-internet,21007
obsidian-pandoc-reference-list,20836
better-fn,20555
image-converter,20394
copy-as-html,20291
obsidian-import-json,20267
obsidian-better-command-palette,20050
workbench-obsidian,19701
copy-url-in-preview,19605
obsidian-math-plus,19478
extract-url,19461
obsidian-link-embed,19166
obsidian-rtl,19014
obsidian-front-matter-title-plugin,18979
obsidian-regex-replace,18972
obsidian-toggl-integration,18608
obsidian-rich-links,18597
mysnippets-plugin,18425
obsidian-core-search-assistant-plugin,18425
obsidian-task-archiver,18350
obsidian-plugin-tagged-documents-viewer,18126
obsidian-hotkeys-for-templates,18118
janitor,18062
obsidian-smarter-md-hotkeys,18043
obsidian-latex-environments,18022
obsidian-bible-reference,17948
completed-task-display,17889
customizable-menu,17871
customjs,17792
language-translator,17771
actions-uri,17417
obsidian-jira-issue,17203
theme-picker,17117
obsidian-stille,17103
obsidian-frontmatter-tag-suggest,16403
obsidian-timestamper,16392
obsidian-pangu,16286
consistent-attachments-and-links,16272
obsidian-activity-history,16253
mrj-jump-to-link,16226
obsidian-hotkeys-for-specific-files,16217
creases,16020
obsidian-task-collector,15957
matter,15719
obsidian-journey-plugin,15711
obsidian-mkdocs-publisher,15518
auto-card-link,15359
obsidian-image-caption,15304
obsidian-html-plugin,15304
extract-highlights-plugin,15133
obsidian-file-path-to-uri,15044
obsidian-version-history-diff,14907
obsidian-clipper,14898
obsidian-plugin-groups,14895
3d-graph,14874
terminal,14864
callout-manager,14831
influx,14793
open-vscode,14786
ledger-obsidian,14785
shortcuts-extender,14753
obsidian-epub-plugin,14712
obsidian-diagrams-net,14567
obsidian-file-link,14476
txt-as-md-obsidian,14302
code-emitter,14269
obsidian-pocket,14076
obsidian-dynamic-highlights,14012
obsidian-comments,13997
metadata-extractor,13970
obsidian-csv-table,13795
csv-obsidian,13783
tasks-calendar-wrapper,13692
obsidian-task-progress-bar,13586
obsidian-tts,13534
obsidian-custom-attachment-location,13522
taskbone-ocr-plugin,13386
close-similar-tabs,13238
obsidian-discordrpc,13205
numerals,13083
obsidian-topic-linking,13061
obsidian-advanced-new-file,13013
OA-file-hider,12961
obsidian-quickshare,12914
obsidian-wikipedia,12868
image-window,12669
open-gate,12654
wikilinks-to-mdlinks-obsidian,12609
obsidian-meta-bind-plugin,12555
lapel,12513
rpg-manager,12496
obsidian-reveal-active-file,12494
obsidian42-text-transporter,12413
obsidian-to-notion,12150
obsidian-tikzjax,12087
obsidian-timestamp-notes,11996
obsidian-file-cleaner,11957
obsidian-raindrop-highlights,11931
colored-tags,11891
music-code-blocks,11815
maximise-active-pane-obsidian,11705
