version,published_at,Linux,Windows,MacOS
v0.13.30,2022-03-07,3492,10321,4694
v0.13.31,2022-03-08,27284,78759,42234
v0.13.33,2022-03-11,0,0,0
v0.14.2,2022-03-28,17551,64799,34853
v0.14.5,2022-04-11,8443,31277,16282
v0.14.6,2022-04-18,61050,183601,94008
v0.14.15,2022-06-07,39721,129459,63524
v0.15.6,2022-07-12,13791,47853,24120
v0.15.8,2022-07-22,7700,39969,23344
v0.15.9,2022-07-26,117479,480038,283140
v1.0.0,2022-10-13,38167,145459,79193
v1.0.3,2022-10-26,102560,363715,181861
v1.1.8,2022-12-20,8412,35993,19838
v1.1.8-E21,2022-12-21,2038,361,108
v1.1.9,2022-12-23,111187,446929,211703
v1.1.15,2023-02-22,21143,77685,32363
v1.1.16,2023-03-02,105252,465884,206051
v1.2.7,2023-05-02,13998,82126,30448
v1.2.8,2023-05-09,34244,113907,49104
v1.3.3,2023-05-23,3672,28413,14964
v1.3.4,2023-05-24,18948,152996,80414
v1.3.5,2023-06-01,125539,689537,356267
v1.3.7,2023-07-31,68953,334647,150217
v1.4.5,2023-08-31,31524,141611,60959
v1.4.10,2023-09-11,318,6530,544
v1.4.11,2023-09-11,3671,15813,6749
v1.4.12,2023-09-12,8991,49289,19343
v1.4.13,2023-09-15,54103,358650,209480
v1.4.14,2023-09-26,50752,298893,112371
v1.4.16,2023-10-13,181490,874086,497221
