Name,Download
Minimal,663876
Things,424246
Blue Topaz,304256
Obsidian Nord,231784
Atom,211817
Obsidianite,170596
Sanctum,132399
Shimmering Focus,124778
Dracula for Obsidian,116601
Wasp,110122
Prism,105091
Typewriter,98424
AnuPpuccin,97915
Yin and Yang,97262
Obsidian gruvbox,92651
Cybertron,88644
Primary,88335
Everforest,83446
ITS Theme,79518
80s Neon,76966
Big Sur Aesthetic,75344
Deep Work,74818
Notation,64416
California Coast,61009
Solarized,56923
Catppuccin,52069
Obsidian You,48393
Terminal,46035
Red Graphite,46013
Typomagical,43739
Ono Sendai,43528
Obuntu,42207
Clair de Lune,41064
Dracula Official,40229
Night Owl,38352
Spectrum,35646
LYT Mode,34264
Pink Topaz,33840
Golden Topaz,33321
Tokyo Night,31371
Dark Moss,28124
Discordian,27571
Cyber Glow,27561
Mado Miniflow,27472
Vileplume,27329
Bubble Space,26160
Sodalite,23806
obsidian_ia,22768
Mado 11,20795
Encore,20604
Willemstad,19837
Border,19308
Reverie,19153
Royal Velvet,18021
Ars Magna,17831
Gitsidian,17767
Wyrd,17428
GitHub Theme,17000
Ultra Lobster,16759
Sandstorm,16337
Shiba Inu,15399
Horizon,14986
Moonlight,14947
Ukiyo,14445
Blackbird,14251
Harmonic,13814
Pisum,13244
PLN,13072
Pine Forest Berry,12902
Ebullientworks,12732
Comfort color dark,12543
Slytherin,12283
Dracula + LYT,11792
Typora-Vue,11116
Dark Graphite Pie,11037
Material Gruvbox,10613
Nebula,10534
Origami,10271
Obsidianotion,10253
Sparkling Wisdom,10235
Agora,10102
Firefly,9450
Obsidian Windows 98 Edition,9270
Aura,9254
Comfort Smooth,9231
Wikipedia,9091
Obsidian Nord Enhanced,8927
Ursa,8703
Mammoth,8690
Subtlegold,8686
Light & Bright,8524
Suddha,8277
Cardstock,8248
Vintage Theme,8185
Maple,7976
Molecule,7943
Faded,7837
Notation 2,7820
WiseLight,7737
Hipstersmoothie,7609
Aurora,7555
🔔 Chime,7463
Golden Coffee,7224
Behave dark,7098
Obsdn-Dark-Rmx,6985
Al Dente,6802
GitHub theme,6720
Purple Aurora,6610
Adwaita,6550
Amethyst,6426
Rosé Pine Moon,6408
Theme-That-Shall-Not-Be-Named,6175
Cidreira Coast,6013
Kanagawa,5956
WY Console,5910
Material Ocean,5886
Dawn,5785
Hulk,5739
Material Flat,5669
Darkyan,5558
Traffic Lights,5540
Fusion,5467
deeper work,5419
Serenity,5384
Everforest Enchanted,5291
Purple Owl,5215
Dayspring,5215
Alchemy,5162
AbsoluteGruv,5158
Emerald,5055
Dune,4976
Obsidian Boom,4968
Friendly,4885
Dracula Slim,4851
Listive,4829
Bolt,4808
Violet Evening,4721
Deep,4703
Elegance,4652
Ayu Mirage,4600
Christmas,4574
Everblush,4568
Creature,4529
Dark Graphite,4514
Dracula Gemini,4512
Ruby,4455
Panic Mode,4443
Zenburn,4443
Lizardmen Zettelkasten,4261
Charcoal,4228
GDCT,4183
Higlighter,4162
ion,4162
Big & Bold,4109
Jotter,4102
Base2Tone,3952
iA Writer,3947
Abyssal,3767
Gastown,3707
Apatheia,3704
Rmaki,3662
WilcoxOne,3581
Viridian,3522
Iceberg,3507
Simple,3487
Red Solitude,3369
Golden Book,3328
Aqua,3245
Simplicity,3149
Ayu,3138
Feather,3129
Carpe Noctem,3124
Micro Mike,3112
GDCT Dark,3089
SynthWave,3082
Carnelian,3059
Olivier’s Theme,2950
iB Writer,2910
Buena Vista,2897
Dekurai,2825
Sparkling Night,2806
Abecedarium,2784
GitHubDHC,2713
Polka,2687
MagicUser,2637
Modern Dark,2554
Doctorfree,2534
Yue,2475
Lemons Theme,2469
Cybertron Shifted,2467
ProtocolBlue,2460
Brutalism,2455
gummy,2427
Wombat,2425
Flexoki,2425
Neo,2390
SALEM,2335
Proper Dark,2303
Synthwave '84,2273
sQdthOne,2223
Solitude,2093
Silence,2056
Atomus,2025
Tokyo Night Storm,2022
NeuBorder,1957
Qlean,1948
NotSwift,1884
Dracula Plus,1870
Rezin,1813
Origin,1770
Tomorrow Night Bright,1676
Nightingale,1631
Comfort,1605
Sanguine,1546
halcyon,1515
Comfort Dark,1497
Illusion,1485
Vibrant,1420
Oldsidian Purple,1387
Autotape,1347
Aura Dark,1339
monochroYOU,1181
Vanilla AMOLED,1097
LaTeX,1011
Shiba Uni,986
Covert,967
Strict,949
Oozy,941
Minimal-Resources,928
Palatinate,792
Serika,749
Venom,696
Kakano,559
Transient,404
Green Nightmare,344
EvilRed,116
LYT Dracula,98
obsidian,32
theme,28
Warmth,26
sQdth One,6
styles,5
Blue-Topaz,4
Obsidian-Typora-Vue,4
obsidian-minimal,4
Default,3
BRAT-whyt-byte----Blue-Topaz_Obsidian-css,3
Windows 10,2
yin-and-yang,2
primary,2
github,2
Lime_百草霜,2
Revin,2
BRAT-AnubisNekhet----AnuPpuccin,2
Blue Topaz-0.59,2
Yin-and-Yang,2
Dracula,2
DarkArts,2
working-edits,2
Shiba Inu NG,2
80,1
Red Graphite alt,1
BRAT-kepano----obsidian-minimal,1
Blue Topaz 2,1
moonlight,1
BlueTopaz,1
pisum,1
MOD_Obsidian Nord,1
Haydn's theme,1
Blue_Topaz_beta2_20221015,1
Ying and Yang,1
ITS,1
配色2,1
default_on_steroids_old,1
Print,1
obsidian-gruvbox,1
+Yin and Yang,1
Giuseppe,1
JB-Minimal,1
obsidian_everforest,1
Zettelkasten,1
palatinate,1
Obsidianite-JPH-BiJiBen,1
Bubble-Space,1
minimal,1
Blue-Topaz_Obsidian,1
Cyber LYT,1
黑暗模式背景,1
MyObStyle01,1
blue-Topaz,1
